자치구,범죄유형,장소카테고리,시간대,자치구_encoded,범죄유형_encoded,장소카테고리_encoded,시간대_encoded,p_district,p_place,p_time,시간_중앙값,is_night,is_rush_hour,crime_severity,risk_score,is_high_risk
영등포구,성폭력,주거지구,15시-18시,19,2,3,5,0.053805400790306164,0.3870828004455629,0.1467583219548943,16.5,0,0,4,56.364849763427266,1
영등포구,성폭력,주거지구,18시-21시,19,2,3,6,0.053805400790306164,0.3870828004455629,0.18574320824897594,19.5,0,1,4,60.75705630769307,1
영등포구,성폭력,주거지구,21시-24시,19,2,3,7,0.053805400790306164,0.3870828004455629,0.1540326757380291,22.5,1,0,4,57.18441004252035,1
영등포구,성폭력,업무지구,00시-03시,19,2,2,0,0.053805400790306164,0.18080366351747185,0.1357173124911719,1.5,1,0,4,31.880618567200067,0
영등포구,성폭력,업무지구,03시-06시,19,2,2,1,0.053805400790306164,0.18080366351747185,0.08135976270069212,4.5,1,0,4,25.75646101242367,0
영등포구,성폭력,업무지구,06시-09시,19,2,2,2,0.053805400790306164,0.18080366351747185,0.055205047318611984,7.5,0,1,4,22.80975722578158,0
영등포구,성폭력,업무지구,09시-12시,19,2,2,3,0.053805400790306164,0.18080366351747185,0.10751447808277226,10.5,0,0,4,28.70316479906576,0
영등포구,성폭력,업무지구,12시-15시,19,2,2,4,0.053805400790306164,0.18080366351747185,0.1336691934648524,13.5,0,0,4,31.649868585707843,0
영등포구,성폭력,업무지구,15시-18시,19,2,2,5,0.053805400790306164,0.18080366351747185,0.1467583219548943,16.5,0,0,4,33.12454662834781,0
영등포구,성폭력,업무지구,18시-21시,19,2,2,6,0.053805400790306164,0.18080366351747185,0.18574320824897594,19.5,0,1,4,37.516753172613605,0
영등포구,성폭력,업무지구,21시-24시,19,2,2,7,0.053805400790306164,0.18080366351747185,0.1540326757380291,22.5,1,0,4,33.94410690744089,0
영등포구,성폭력,다중이용시설,00시-03시,19,2,1,0,0.053805400790306164,0.3183299641074302,0.1357173124911719,1.5,1,0,4,47.374928667357544,1
영등포구,성폭력,다중이용시설,03시-06시,19,2,1,1,0.053805400790306164,0.3183299641074302,0.08135976270069212,4.5,1,0,4,41.25077111258114,0
영등포구,성폭력,다중이용시설,06시-09시,19,2,1,2,0.053805400790306164,0.3183299641074302,0.055205047318611984,7.5,0,1,4,38.30406732593906,0
영등포구,성폭력,다중이용시설,09시-12시,19,2,1,3,0.053805400790306164,0.3183299641074302,0.10751447808277226,10.5,0,0,4,44.197474899223224,1
영등포구,성폭력,다중이용시설,12시-15시,19,2,1,4,0.053805400790306164,0.3183299641074302,0.1336691934648524,13.5,0,0,4,47.14417868586532,1
영등포구,성폭력,다중이용시설,15시-18시,19,2,1,5,0.053805400790306164,0.3183299641074302,0.1467583219548943,16.5,0,0,4,48.61885672850528,1
영등포구,성폭력,다중이용시설,18시-21시,19,2,1,6,0.053805400790306164,0.3183299641074302,0.18574320824897594,19.5,0,1,4,53.011063272771075,1
영등포구,성폭력,다중이용시설,21시-24시,19,2,1,7,0.053805400790306164,0.3183299641074302,0.1540326757380291,22.5,1,0,4,49.43841700759835,1
영등포구,성폭력,기타,00시-03시,19,2,0,0,0.053805400790306164,0.11378357192953505,0.1357173124911719,1.5,1,0,4,24.32984407861275,0
